volume,issue,year,article_title,author_Last,author_First,more_authors_last_first,affiliations,NON-US-based,abstract,keywords,page_start,page_end,doi,notes
2,2,2025,Enhancing XDP eBPF Firewall Performance and Accuracy with Large Language Models and Symbolic Execution,Lyu,Jeffrey,,The Affiliated High School of South China Normal University,Y,Firewalls are foundational to computer network security yet managing large and complex eXpress Data Path (XDP) extended Berkeley Packet Filter (eBPF) rule sets often results in performance inefficiencies and configuration errors. This paper investigates how large language models (LLMs) can enhance the performance and maintain correctness of XDP eBPF-based firewalls by applying AI-guided rule optimization in conjunction with formal equivalence verification using symbolic execution and Satisfiability Modulo Theories (SMT) solvers. We propose a dual-phase workflow: first LLMs optimize rule sets by reordering and pruning redundant entries; second symbolic reasoning verifies functional equivalence with the original policy. Our evaluation across 12 firewalls ranging from basic to complex functionalities demonstrates a verified success rate of 83.3%. We conclude that LLM optimization when combined with formal checking offers a practical and scalable approach to maintaining accurate and efficient firewall configurations.,"Firewall, XDP eBPF, Large Language Models, Symbolic Execution, Satisfiability Modulo Theories",4,7,https://doi.org/10.5281/zenodo.17107507,
2,2,2025,Streamlining Plastic Recycling using Machine Learning-Based Image Classification,Jacob,Rebecca,"Sharma, Gokarna",Solon High School,,Not all plastic is recyclable yet many consumers rely on the recycling symbol alone leading to contamination in recycling facilities and increased landfill waste. Uncertainty about recyclability also results in unnecessary disposal leading plastics that could have been recycled to instead contribute to long-term environmental damage. Addressing this issue requires an accessible and accurate method for classification. This study explores the potential of machine learning to identify and classify plastic waste helping consumers make informed recycling decisions. A custom dataset of over 10000 images was used to train deep learning models such as VGG-16 and VGG-19. Evaluation metrics included accuracy recall precision and F1-score. The best-performing model achieved an 87.8% classification accuracy demonstrating its effectiveness in distinguishing between recyclable and non-recyclable plastics. This model was then integrated into a mobile application that enables users to take a picture of plastic waste and receive real-time classification and disposal guidance. By reducing contamination in recycling streams and improving waste sorting this approach supports environmental sustainability. In the future AI-driven waste classification can reduce landfill waste plastic pollution and resource consumption helping mitigate the long-term environmental impact of plastic waste.,"Machine learning, artificial intelligence, plastic recycling, sustainability, plastic image classification, plastic categorization",8,13,https://doi.org/10.5281/zenodo.17123234,
2,2,2025,A Symbolic Approach to Detecting Structural Risk in Financial Networks Using Graph-Based Constraint Solving,Bhat,Ananya,,Novi High School,,Systemic risk in financial systems is frequently thought to rise largely from market volatility but the structural complexity of inter-institutional relationships plays a key role in it. However traditional models often rely on stochastic processes or empirical data but sometimes can't capture deterministic vulnerabilities embedded within a network's architecture. This paper introduces a symbolic framework for identifying structural risk in financial networks using graph based constraint solving. In this institutions are modelled as nodes in a directed weighted graph where edges represent financial dependencies which include obligations exposures or liquidity lines. Constraints symbolically encode capital thresholds solvency conditions and counterparty relationships. With a constraint based satisfaction engine hypothetical scenarios of node failure to detect deterministic propagation paths can be explored which reveals hidden system vulnerabilities. Validation with synthetic networks is proposed with preliminary analysis indicating how symbolic reasoning can expose non-obvious critical nodes and substructures. This approach provides a transparent reproducible and data-agnostic method for systemic risk assessment suitable for exploratory modeling and early warning system design.,"Systemic Risk, Symbolic Computation, Constraint Solving, Financial Networks, Graph Theory, Risk Modeling",14,15,https://doi.org/10.5281/zenodo.17107047,
2,2,2025,Hybrid Physics-Informed Machine Learning Frameworks for Predictive Thermodynamic Modeling,Ahanaf,Ariq,,Ideal School and College,Y,Recent advances in machine learning (ML) have opened new frontiers for modeling complex thermodynamic systems. Traditional thermodynamic property predictions often rely on methods limited in accuracy or scope. This research explores the potential of ML methods specifically support vector regression (SVR) and physics-informed neural networks (PINNs) to improve predictive accuracy for thermodynamic properties. We propose a hybrid framework combining these supervised learning algorithms with classical thermodynamic modeling concepts. Accompanying Python code examples using scikit-learn and TensorFlow demonstrate model training cross-validation and the application of basic physics-informed constraints using synthetic datasets. Execution of these examples shows that SVR can achieve high accuracy on synthetic entropy data a physics-informed neural network with non-negativity constraints attains R2 of approximately 0.78 for heat capacity prediction and a hybrid model with learned Shomate-like correction substantially improves performance to R2 of approximately 0.88 all on synthetic data. While the provided code focuses on property prediction the broader conceptual framework discussed herein extends to potential digital twin integration and reinforcement learning for operational optimization in complex energy systems representing avenues for future development.,"Physics-Informed Machine Learning, Thermodynamic Modeling, Support Vector Regression, Neural Networks, Digital Twins",16,20,https://doi.org/10.5281/zenodo.17195513,
2,2,2025,Spacecraft Anomaly Detection: Machine Learning Based Detection of Lithium-Ion Battery Degradation in Space Conditions,Linden,Vera A. van der,,Bishop Manogue High School,,As space travel becomes increasingly complex and sought after with the prospects brought about by international and national space missions such as NASA's Artemis II and Europa missions monitoring battery safety and health in spacecraft has become even more critical. Under space conditions and stresses electrical systems and components such as batteries face exposure to high energy particle radiation thermal fluctuations and operational autonomy in remote environments. The industry standard for satellite probe and rover batteries has been favorable in regards to Lithium-ion batteries (LiBs) which despite their high energy density long life cycle and wide operating temperature range are still vulnerable to solid electrolyte interphase (SEI) degradation capacity fade thermal runaway and impedance shifts caused by these harsh conditions significantly impacting mission success. Current spacecraft battery monitoring methods rely heavily on human oversight and telemetry data resulting in delays or inaccuracies. This study aims to address this limitation by employing machine learning (ML) methods such as linear (LR) and random forest (RF) regression. Utilizing the nascent PyBaMM library to artificially synthesize LiB radiation and thermal data the ML model will be trained on labeled data to improve anomaly detection accuracy and reduce false positives in battery systems monitoring offering future potential for real-time autonomous responses to battery health deterioration in space without human intervention.,"PyBaMM, Code Generation, Battery Degradation Study, LEO Spacecraft, Machine Learning Analysis",21,27,https://doi.org/10.5281/zenodo.17107814,
2,2,2025,Understanding Domain Adaptation Using CORAL in Computer Vision,Chakraborty,Aditya,,The Village School,,This paper investigates whether Domain Adaptation techniques can significantly improve the performance of Convolutional Neural Networks (CNNs) in image classification across varying domains and distributions. Our work applies Deep CORAL with EfficientNetV2 for domain adaptation on the Office-31 dataset. We compare its performance to a regular EfficientNetV2 model that doesn't use domain adaptation measuring improvements with metrics as follows: accuracy precision recall and F1 score. The CORAL-implemented model demonstrated a 4.15% average boost in average precision recall F1 and accuracy across all 3 trials.,"Artificial Intelligence, Computer Vision, Deep Learning, Domain Adaptation, Neural Networks, Convolutional Neural Networks, Transfer Learning",28,36,https://doi.org/10.5281/zenodo.17195365,
3,1,2026,Human Perception and Detection of AI-Generated Phishing Emails: A Red-Teaming and Multi-Layered Detection Approach,Mehra,Rohan,,Riverdale Country School,,Large Language Models (LLMs) now generate phishing emails indistinguishable from legitimate correspondence challenging traditional detection systems. While baseline classifiers achieve 97-99% accuracy on established corpora they remain untested against adversarially-generated AI variants. We introduce a detectability gap metric quantifying confidence differences between AI and human-authored phishing enabling continuous monitoring of generative model evolution. Evaluating 155659 emails (72941 legitimate; 81519 human-phishing; 1199 AI-phishing) from three primary sources plus eleven datasets our Random Forest classifier achieved 98.13% test accuracy. A GAN to GPT adversarial pipeline generating 280 variants revealed 84.3% detection rate with misclassifications concentrated in formal non-urgent examples. Feature analysis showed reliance on traditional phishing markers rather than AI-specific patterns suggesting vulnerability as generative attacks evolve. This framework provides early-warning capability for tracking LLM advancement while maintaining computational efficiency suitable for resource-constrained organizations.,"Phishing Detection, Large Language Models, Machine Learning Security, Adversarial Machine Learning, Email Security, Generative AI, Random Forest, Cybersecurity",4,12,https://doi.org/10.5281/zenodo.18404590,
3,1,2026,Comparing the Performance of Traditional Machine Learning and Deep Learning Algorithms for Breast Cancer Survival Prediction,Ranjit,Navaneeth,,Private International English School,Y,Breast cancer remains the most commonly diagnosed cancer among women worldwide with disparities in outcomes influenced by geographic and socioeconomic factors. In this study we address the challenge of predicting breast cancer survivability specifically in scenarios with limited data. Using the METABRIC dataset which comprises clinical and genetic attributes from 1980 primary breast cancer samples we performed binary classification to predict patient survival outcomes. We explored a range of machine learning and deep learning models including 13 traditional ML algorithms and 6 deep learning architectures. In addition we implemented a time-to-event analysis using a Cox proportional hazards pipeline with Elastic Net regularization and deep survival models such as DeepSurv and DeepHit. A soft voting classifier combining LightGBM CatBoost and AdaBoost trained and tested on clinical attributes provided the best performance while deep learning models underperformed likely due to the limited dataset size. Overall we observed that the models performed better when trained on clinical features rather than using genetic attributes suggesting that clinical indicators remain more predictive of breast cancer survivability.,"Breast Cancer Survival, Machine Learning, Deep Learning, Ensemble Models, Tabular Data, METABRIC, Genetic Attributes, Clinical Attributes",13,23,https://doi.org/10.5281/zenodo.18404485,
3,1,2026,Machine Learning Framework for Phishing Detection through Email using Imbalanced Data,Mkrtumyan,Mher,,Horizon Academic Research Program,,Phishing emails remain a persistent cybersecurity threat as attackers continue to employ increasingly sophisticated techniques to deceive users into disclosing sensitive information. Detection is particularly challenging in real-world environments where legitimate emails vastly outnumber malicious ones. This study presents a dual-layer machine learning framework for phishing detection that independently analyzes sender metadata and email body content. The sender layer evaluates structural characteristics of email addresses while the content layer extracts linguistic and statistical features from email text. Each layer produces a probability score representing the likelihood of phishing; these are subsequently integrated using a meta-classification model to generate a final decision. The framework is evaluated on a large real-world dataset containing over 500000 emails with a highly imbalanced class distribution. Experimental results demonstrate that the proposed approach provides robust and reliable performance under realistic conditions highlighting the effectiveness of integrating multiple analytical perspectives for practical phishing detection.,"Phishing Detection, Machine Learning, Dual-Layer Framework, Email Security, Imbalanced Data, Sender Metadata, Email Content Analysis, Random Forest, XGBoost, LightGBM, ROC Curve, Logistic Regression, Cybersecurity, Dataset Preprocessing",24,30,https://doi.org/10.5281/zenodo.18435064,
3,1,2026,A Vision-Based Approach to Safe Void Detection and Path Planning in Post-Disaster Rubble Using Segment Anything Models,Sanku,Abhiram,,John Champe High School,,In disaster-stricken environments such as collapsed buildings landslides or earthquake zones human-led search and rescue efforts are often impeded by unstable structures and limited visibility. This paper presents an AI-enhanced robotic navigation framework designed to autonomously identify and traverse structurally safe spaces within rubble piles. Our system integrates Geo-SAM a state-of-the-art segmentation model built on the Segment Anything Model (SAM) to detect safe and unsafe regions from overhead or robot-mounted images. A hybrid path planning module then applies four distinct algorithms A* RRT* Greedy Best-First Search and Lawnmower coverage to evaluate navigation efficiency and spatial coverage through identified safe zones. The A* and RRT* algorithms are used to optimize path efficiency and obstacle avoidance while the Greedy Best-First Search algorithm provides a heuristic-driven computationally lightweight alternative. The Lawnmower algorithm enables complete area coverage analysis for mapping and validation purposes. Each algorithm's results are overlaid onto the segmented imagery for visual verification and the shortest valid path is converted into robot-executable movement commands. Evaluation across multiple runs of the LADI-v2 disaster imagery dataset demonstrates the framework's robustness and flexibility showing consistent identification of traversable paths while minimizing exposure to hazardous zones. The model achieves 93.4% pixel-wise segmentation accuracy 89.7% safe/unsafe classification accuracy and IoU scores of 0.78 (safe) and 0.81 (unsafe). This work contributes to advancing autonomous navigation in complex unstructured environments and establishes a modular multi-algorithm foundation for scalable urban search-and-rescue robotics applications.,"Geo-SAM, Safe Void Detection, Path Planning, Disaster Robotics, A*, RRT*, LADI-v2",31,36,https://doi.org/10.5281/zenodo.18404630,
3,1,2026,Leveraging Machine Learning and Zinc-Aware Docking to Discover Natural Inhibitors of EptA Resistance Enzymes,Cheng,Mason,"Diabate, Mariame",Saratoga High School,,Antibiotic resistance in multidrug-resistant (MDR) bacteria poses a critical threat to global health contributing to millions of deaths annually. Polymyxins a class of antibiotics have been reintroduced as a last-resort treatment against Gram-negative MDR infections but resistance has spread rendering them ineffective. In light of this problem we employed machine learning and zinc-aware docking to discover natural inhibitors of EptA resistance enzymes a type of enzyme conferring resistance to polymyxins. We curated a training dataset of 2088 compounds derived from known EptA inhibitors and their structural analogs with activity labels generated from docking scores to train a random forest (RF) model. The model achieved 93% accuracy and was applied to screen 5000 compounds from the COCONUT natural product database predicting 166 active compounds of which the top 10 candidates were validated through high-accuracy docking. The top candidates demonstrated strong binding affinity to EptA's zinc-dependent active site (docking scores: -6.384 to -8.129 kcal/mol) and formed consistent hydrogen bonds with catalytic residues warranting further evaluation through in vitro and in vivo validation.,"Bacterial resistance, Machine learning, Colistin, EptA, Polymyxin resistance enzymes, Zinc-aware molecular docking, Antibiotic resistance, Polymyxin antibiotics, Zinc-dependent metalloenzymes, Structure-based virtual screening, Gram-negative bacterial infections",37,46,https://doi.org/10.5281/zenodo.18432165,
3,2,2026,Visualizing Hyperparameters in 2D Drone Navigation,Punuru,Maanas,"Ernst, Jan Ole",Panther Creek High School,,Reinforcement Learning (RL) is a subfield of Machine Learning that involves agents learning what actions to take given the current state and an eventual goal. RL has become prevalent in the modern world. RL-powered self-driving drones are used in modern society for various tasks such as delivering packages. Thus it would be practical and interesting to design an RL algorithm that attempts to teach a drone how to reach a target. However small-scale learning is difficult due to the problem of learning to take sequential beneficial steps especially with stochastic wind. In this paper we address this issue by testing various hyperparameters in an attempt to mitigate these problems. These small-scale tests can be crucial to large-scale drone navigation problems helping improve contemporary algorithms. In this paper we test hyperparameters such as unique reward shaping formulae and discount factors. Multiple experiments conclude that some hyperparameters have a large effect on drone performance while some do not.,"Reinforcement Learning (RL), Unmanned Aerial Vehicle (UAV), Hyperparameters, Reward shaping, Discount factor, Learning rate, Actor-Critic, Stochasticity, Proximal Policy Optimization (PPO)",4,9,https://doi.org/10.67149/yhjs2024.5/bx8r3n6w,
3,2,2026,Entropy-Minimal Noise Schedules for Denoising Diffusion Probabilistic Models: A Non-Equilibrium Thermodynamics Approach,Omar,Tawhid Bin,,St. Joseph Higher Secondary School,Y,Noise schedules in denoising diffusion probabilistic models (DDPMs) control how quickly information is destroyed during the forward Markov chain. Existing schedules -- linear cosine quadratic -- were designed by heuristic trial-and-error. We ask: what schedule is optimal for a fixed number of diffusion steps T? We answer this by framing the problem as minimizing the total discretization error of the forward process which is a sum of KL divergences between consecutive noise marginals. Using a Cauchy-Schwarz argument we prove that the unique minimizer is a geometric interpolation of the noise variance equivalently requiring log(1 - alpha_t) to be linear in t. We call this the Entropy-Minimal (EM) schedule as it is the discrete analog of the minimum entropy production principle from non-equilibrium thermodynamics. Experiments on a 2D Gaussian mixture show that the EM schedule achieves a coefficient of variation in per-step KL divergence of 0.03 more than 500x lower than any standard schedule and produces the best generative quality by both Maximum Mean Discrepancy (MMD = 0.0106) and Sliced Wasserstein Distance (SWD = 0.2118).,"diffusion models, noise schedule, entropy production, stochastic thermodynamics, generative models",10,15,https://doi.org/10.67149/yhjs2024.5/k2v9p4cz,
3,2,2026,Plexibot: A Homogeneous Modular Robot Framework for Adaptive Locomotion in Unstructured Environments,Goel,Kaavya,,The Quarry Lane School,,Modular robots represent a transformative approach to robotic design and unmanned aerial vehicles (UAVs) leveraging the reconfiguration abilities of numerous interconnected modules to achieve versatile and adaptive functionality. This paper presents a solution to the challenges of robustness and adaptability in dynamic unstructured environments. While prior research in modular robotics has explored either ground-based or aerial systems there remains a notable gap in the integration of both modalities into a single adaptive platform. Plexibot a novel modular robot with aerial and terrestrial capabilities along with a unique docking system and homogeneous design enables robust adaptability and reconfiguration. Plexibot is designed to support decentralized coordination between modules inspired by prior consensus-based modular robotic systems. Combined with its possession of both chain-style and mobile reconfiguration these modules have an almost limitless range of applications.,"Modular Robots, Consensus-Based Control, Hybrid Locomotion, Docking Mechanism, Unstructured Environments",16,22,https://doi.org/10.67149/yhjs2024.5/n7x5q8jm,
3,2,2026,Usability of Municipal AI Policy Documents: A Heuristic Evaluation and NLP Analysis Across 20 U.S. Cities,Mehra,Nikhil,,Ethical Culture Fieldston School,,As artificial intelligence tools become embedded in government operations U.S. municipalities are rapidly publishing policies to govern their use with over twenty cities and counties now maintaining public-facing AI governance documents. However no systematic evaluation has examined whether these documents are actually usable by the employees contractors and members of the public they are meant to guide. This gap is consequential: even a substantively strong policy fails if its intended audience cannot find what they need understand what they find or act on what they understand. We evaluate 20 municipal AI policy documents spanning large medium and small cities across five geographic regions using a 30-heuristic framework grounded in HCI usability principles and government plain-language standards complemented by an NLP-based complexity analysis we call the Composite Legal Readability Score (CLRS). Our central finding is a systematic infrastructure-interface gap: cities build stronger governance scaffolding (organizational structure and visual design) than user-facing communication (plain language findability audience awareness actionability). The gap is statistically significant (Delta=0.63 p<.001 Cohen's d=2.53) and observed in all 20 cities and survives sensitivity analysis under heuristic reweighting category reassignment and leave-one-out perturbation. Actionability is the worst-performing category (M=2.28 SD=0.30) more than a full severity point above the next-worst. Decomposed into five sub-dimensions the actionability deficit is uniform: every document in our corpus has a minimum severity of 2 on procedural temporal implementation and enforcement clarity; only norm clarity (must/should/can language) is largely solved. Readability and actionability correlate strongly (r=0.87) indicating that complex language and missing compliance guidance co-occur as a compounding problem rather than a tradeoff. We complement these findings with a worked before/after redesign of a Baltimore-style passage and a task-based walkthrough connecting heuristic scores to predicted user friction; both are illustrations of the rubric's internal logic not validations. All quantitative claims rest on a single-evaluator scoring of 30 heuristics across 20 documents; the limits this places on every claim in the paper are addressed in Section 6.,"HCI, heuristic evaluation, AI governance, document usability, plain language, municipal policy, NLP, readability, legal text complexity",23,39,https://doi.org/10.67149/yhjs2024.5/r4d2w9ky,
3,2,2026,Backdoor Detection in Reinforcement Learning Agents for Electric Vehicle Charging Control,Raghavan,Ajay,,Eastlake High School,,As electric vehicles become central to modern transportation power grids increasingly rely on automated reinforcement learning controllers. This study investigates whether backdoored RL agents controlling simulated EV charging systems can be detected using lightweight statistical anomaly detectors and compact neural models. We evaluate detection methods operating solely on state-action trajectories without access to model internals. Across multiple random seeds and held-out evaluation runs neural classifiers achieved strong separation between clean and compromised agents in the evaluated trigger setting while statistical methods exhibited high recall but elevated false alarm rates. Additional robustness experiments with subtle-action probabilistic delayed-effect and stealthy adaptive variants show that performance remains high but slightly weakens under harder attacks mainly through increased false alarms. These results suggest that trajectory-level behavioral monitoring is promising but broader testing under more realistic and adversarially optimized conditions is needed before making general claims about RL backdoor detection.,"Cybersecurity, Backdoor Detection, Reinforcement Learning, Electric Vehicles",40,46,https://doi.org/10.67149/yhjs2024.5/t8m6z3qp,
